dataset_index,scene,object_id,valid_points,rot_deg,trans_cm,difficulty
243,1-3-13,51,214,2.9821594,0.071109705,3.6932564
244,1-3-13,58,555,3.6761022,0.1897714,5.5738163
245,1-3-14,35,724,2.7720582,0.1739598,4.5116563
246,1-3-14,39,364,3.1228647,0.16510527,4.773917
247,1-3-14,48,791,2.8199449,0.2859645,5.6795897
248,1-3-14,51,213,2.5625422,0.22489808,4.811523
249,1-3-14,58,510,2.5625422,0.11763057,3.738848
250,1-3-15,35,661,2.5625422,0.07844605,3.3470027
251,1-3-15,39,370,2.5625422,0.15881604,4.1507025
252,1-3-15,48,759,2.5625422,0.14550987,4.017641
253,1-3-15,51,181,2.5625422,0.33341128,5.896655
254,1-3-15,58,503,2.5625422,0.1913429,4.475971
255,1-3-16,35,698,2.5625422,0.13107532,3.8732953
256,1-3-16,39,368,5.0521426,0.11325983,6.184741
257,1-3-16,48,671,89.55039,0.41266224,93.67702
258,1-3-16,51,206,2.5625422,0.17632517,4.325794
259,1-3-16,58,534,2.5625422,0.21345724,4.697115
260,1-3-17,35,681,2.5625422,0.21895337,4.752076
261,1-3-17,39,387,6.3575506,0.19590499,8.316601
262,1-3-17,48,796,2.5625422,0.2779953,5.342495
263,1-3-17,51,191,2.5625422,0.21511804,4.713722
264,1-3-17,58,576,2.5625422,0.15518045,4.1143465
265,1-3-18,35,519,2.5625422,0.46397132,7.2022552
266,1-3-18,39,368,4.3082533,0.15909445,5.8991976
267,1-3-18,48,830,2.5625422,0.47669154,7.3294573
268,1-3-18,51,177,2.5625422,0.2270694,4.833236
269,1-3-18,58,584,2.793302,0.21598098,4.9531116
270,1-3-19,35,704,2.5625422,0.40910825,6.6536245
271,1-3-19,39,384,2.9792697,0.118317544,4.162445
272,1-3-19,48,817,2.9786127,0.2328999,5.3076115
273,1-3-19,51,208,2.5625422,0.06250461,3.1875882
274,1-3-19,58,498,2.5625422,0.3216724,5.7792664
275,1-3-20,35,433,2.5625422,0.5439621,8.002163
276,1-3-20,39,370,2.5625422,0.08981284,3.4606705
277,1-3-20,48,857,2.5625422,0.32536978,5.8162403
278,1-3-20,51,208,2.5625422,0.197372,4.5362625
279,1-3-20,58,503,2.5625422,0.13595939,3.922136
280,1-4-0,35,659,2.5625422,0.19890007,4.551543
281,1-4-0,39,380,2.5625422,0.15488324,4.111375
282,1-4-0,48,846,89.60526,0.37562805,93.36154
283,1-4-0,51,212,2.6562335,0.26606223,5.316856
284,1-4-0,58,475,2.5625422,0.34366646,5.9992065
285,1-4-1,35,672,2.5625422,0.17904304,4.3529725
286,1-4-1,39,367,2.60083,0.08157188,3.4165487
287,1-4-1,48,812,2.8095133,0.4390216,7.199729
288,1-4-1,51,176,2.5625422,0.13278157,3.890358
289,1-4-1,58,494,2.5625422,0.21939094,4.7564516
290,1-4-2,35,744,2.6594741,0.33046496,5.9641237
291,1-4-2,39,368,2.5625422,0.098082855,3.5433707
292,1-4-2,48,840,3.2472706,0.11391782,4.386449
293,1-4-2,51,196,2.5625422,0.3110777,5.6733193
294,1-4-2,58,491,3.0749803,0.18539312,4.928911
295,1-4-3,35,560,2.5625422,0.40908748,6.6534166
296,1-4-3,39,400,2.6051912,0.099381454,3.5990057
297,1-4-3,48,829,3.4156966,0.25349432,5.9506397
298,1-4-3,51,213,3.5710578,0.15457648,5.1168227
299,1-4-3,58,552,2.5625422,0.25398988,5.102441
300,1-4-4,35,717,2.5625422,0.12037936,3.7663357
301,1-4-4,39,390,2.5625422,0.092576854,3.4883108
302,1-4-4,48,783,3.725204,0.3654867,7.380071
303,1-4-4,51,220,2.5625422,0.18495287,4.4120708
304,1-4-4,58,558,2.5625422,0.21818897,4.744432
305,1-4-5,35,638,2.5625422,0.32640406,5.826583
306,1-4-5,39,377,4.5570707,0.092957824,5.486649
307,1-4-5,48,772,2.5625422,0.3307974,5.8705163
308,1-4-5,51,221,2.5625422,0.056687858,3.1294208
309,1-4-5,58,524,2.5625422,0.12536046,3.8161469
310,1-4-6,35,600,2.5625422,0.61875355,8.750077
311,1-4-6,39,385,17.062538,0.16166839,18.679222
312,1-4-6,48,813,2.5625422,0.11160061,3.6785483
313,1-4-6,51,216,2.5625422,0.28639275,5.42647
314,1-4-6,58,542,2.5625422,0.1576171,4.1387134
315,1-4-7,35,552,2.5625422,0.3541187,6.1037292
316,1-4-7,39,382,6.386261,0.1307309,7.69357
317,1-4-7,48,835,2.5625422,0.23174244,4.8799667
318,1-4-7,51,207,2.8643003,0.03489447,3.213245
319,1-4-7,58,501,2.5625422,0.40329182,6.59546
320,1-4-8,35,457,2.5625422,1.3117812,15.680353
321,1-4-8,39,377,2.5625422,0.06469181,3.2094603
322,1-4-8,48,854,2.5625422,0.22156201,4.778162
323,1-4-8,51,223,2.8713992,0.25886238,5.460023
324,1-4-8,58,587,2.7871284,0.108340345,3.870532
325,1-4-9,35,716,2.9544606,0.254559,5.5000505
326,1-4-9,39,372,2.997089,0.08421857,3.8392746
327,1-4-9,48,847,2.5625422,0.30975616,5.660104
328,1-4-9,51,217,2.9597569,0.245831,5.418067
329,1-4-9,58,398,2.5625422,0.21423988,4.704941
330,1-4-11,35,489,2.5625422,0.21910204,4.753563
331,1-4-11,39,380,3.3073068,0.18363625,5.143669
332,1-4-11,48,849,2.5625422,0.17221749,4.284717
333,1-4-11,51,196,3.2814558,0.31175005,6.3989563
334,1-4-11,58,542,2.5625422,0.23788913,4.9414334
335,1-4-12,35,334,2.8764393,0.6235235,9.111674
336,1-4-12,39,372,2.5625422,0.22466679,4.80921
337,1-4-12,48,850,3.3887649,0.1951697,5.3404617
338,1-4-12,51,195,2.5625422,0.26304248,5.192967
339,1-4-12,58,545,2.5625422,0.21665667,4.729109
340,1-4-13,35,723,2.5625422,0.041252986,2.9750721
341,1-4-13,39,381,3.852953,0.17289865,5.5819397
342,1-4-13,48,780,2.5625422,0.22699708,4.832513
343,1-4-13,51,153,3.7179432,0.241061,6.1285534
344,1-4-13,58,544,2.5625422,0.24062292,4.9687715
345,1-4-14,35,683,2.5625422,0.2602912,5.165454
346,1-4-14,39,331,3.3616178,0.13089463,4.670564
347,1-4-14,48,815,2.5625422,0.3071664,5.634206
348,1-4-14,51,217,2.5625422,0.11939025,3.7564447
349,1-4-14,58,560,2.5625422,0.14073165,3.9698586
350,1-4-15,35,660,2.5625422,0.23052642,4.8678064
351,1-4-15,39,369,159.6936,0.10857479,160.77936
352,1-4-15,48,596,4.5532002,0.40252715,8.578472
353,1-4-15,51,206,2.5625422,0.34448117,6.007354
354,1-4-15,58,518,2.5625422,0.20578264,4.6203685
355,1-4-16,35,705,2.5625422,0.22607715,4.8233137
356,1-4-16,39,372,7.1325917,0.14743775,8.606969
357,1-4-16,48,814,3.305945,0.20070665,5.313011
358,1-4-16,51,198,4.9250546,0.33979875,8.323042
359,1-4-16,58,570,2.5625422,0.15420954,4.1046376
360,1-4-18,35,517,2.5625422,0.30795655,5.642108
361,1-4-18,39,359,2.5625422,0.055462744,3.1171696
362,1-4-18,48,842,2.5625422,0.24017733,4.9643154
363,1-4-18,51,200,2.5625422,0.022123184,2.7837741
364,1-4-18,58,512,2.5625422,0.19624545,4.5249968
365,1-4-19,35,664,2.5625422,0.2041826,4.604368
366,1-4-19,39,372,5.4347663,0.12896483,6.724415
367,1-4-19,48,804,4.562655,0.33401683,7.9028234
368,1-4-19,51,195,3.168668,0.20109025,5.17957
369,1-4-19,58,537,2.5625422,0.14504308,4.012973
370,1-4-20,35,712,2.5625422,0.07046628,3.267205
371,1-4-20,39,376,2.5625422,0.10201751,3.5827174
372,1-4-20,48,764,2.5625422,0.33080646,5.870607
373,1-4-20,51,201,2.5625422,0.13968532,3.9593954
374,1-4-20,58,417,2.563993,0.54546297,8.018623
375,1-5-0,35,638,2.5625422,0.28689563,5.4314985
376,1-5-0,39,376,7.992544,0.12540628,9.246607
377,1-5-0,48,777,4.2913547,0.2466138,6.7574925
378,1-5-0,51,223,2.5625422,0.068935215,3.2518945
379,1-5-0,58,589,2.5625422,0.055411644,3.1166587
380,1-5-1,35,663,2.5625422,0.31561846,5.718727
381,1-5-1,39,368,2.5625422,0.246259,5.025132
382,1-5-1,48,803,3.7419865,0.22489372,5.990924
383,1-5-1,51,204,4.2978306,0.14563698,5.7542005
384,1-5-1,58,577,2.5625422,0.0361374,2.923916
385,1-5-2,35,644,2.5625422,0.38732243,6.435766
386,1-5-2,39,374,2.5625422,0.15477169,4.110259
387,1-5-2,48,801,3.667997,0.21268216,5.7948184
388,1-5-2,51,209,4.277458,0.2798612,7.0760703
389,1-5-2,58,385,2.5625422,0.25984183,5.16096
390,1-5-3,35,377,2.5625422,1.0560155,13.122697
391,1-5-3,39,372,5.5706334,0.17835504,7.3541837
392,1-5-3,48,798,2.5625422,0.1638946,4.201488
393,1-5-3,51,205,4.61278,0.08379801,5.4507604
394,1-5-3,58,332,3.9838877,0.5961951,9.945839
395,1-5-4,35,670,2.5625422,0.25366667,5.099209
396,1-5-4,39,364,3.0595348,0.0900158,3.9596927
397,1-5-4,48,851,2.5625422,0.23365605,4.8991027
398,1-5-4,51,215,2.5625422,0.19410506,4.5035925
399,1-5-4,58,557,3.0683522,0.2278376,5.3467283
400,1-5-5,35,694,2.9839969,0.13118532,4.29585
401,1-5-5,39,379,2.5625422,0.08988954,3.4614377
402,1-5-5,48,802,2.5625422,0.2514362,5.0769043
403,1-5-5,51,213,2.5625422,0.09649004,3.5274425
404,1-5-5,58,504,2.5625422,0.14785798,4.041122
405,1-5-6,35,641,2.5625422,0.22834966,4.846039
406,1-5-6,39,371,4.5115395,0.16285461,6.1400857
407,1-5-6,48,826,2.5625422,0.23678441,4.9303865
408,1-5-6,51,220,3.1271245,0.2621765,5.74889
409,1-5-6,58,540,2.5625422,0.08323085,3.3948507
410,1-5-7,35,653,2.5625422,0.20141995,4.5767417
411,1-5-7,39,371,2.5625422,0.09403266,3.5028687
412,1-5-7,48,865,7.4205294,0.49893084,12.409838
413,1-5-7,51,204,3.0950327,0.0969721,4.0647535
414,1-5-7,58,562,2.5625422,0.24605635,5.0231056
415,1-5-8,35,629,3.5050933,0.1319145,4.8242383
416,1-5-8,39,372,2.6198761,0.19719377,4.591814
417,1-5-8,48,633,2.5625422,0.39877138,6.550256
418,1-5-8,51,191,3.1024873,0.26497024,5.7521896
419,1-5-8,58,552,2.5625422,0.058315713,3.1456993
420,1-5-9,35,647,2.5625422,0.2276123,4.838665
421,1-5-9,39,374,2.5625422,0.2051346,4.6138883
422,1-5-9,48,703,2.5625422,0.22861189,4.8486614
423,1-5-9,51,218,2.5625422,0.17035362,4.2660785
424,1-5-9,58,315,4.8105974,0.54064894,10.217087
425,1-5-10,35,699,2.5625422,0.15410559,4.103598
426,1-5-10,39,376,6.1452904,0.22801396,8.42543
427,1-5-10,48,787,2.7086275,0.2982316,5.6909437
428,1-5-10,51,213,2.8990805,0.1339736,4.2388163
429,1-5-10,58,549,2.5625422,0.37651485,6.327691
430,1-5-12,35,543,2.8234134,0.48962352,7.7196484
431,1-5-12,39,371,5.649029,0.11900829,6.839112
432,1-5-12,48,733,58.34743,0.38770294,62.22446
433,1-5-12,51,201,3.1350026,0.23452528,5.480255
434,1-5-12,58,527,2.5625422,0.09341196,3.4966617
435,1-5-13,35,366,2.5625422,0.5472566,8.035108
436,1-5-13,39,386,2.5625422,0.059815556,3.1606977
437,1-5-13,48,783,2.5625422,0.30837405,5.6462827
438,1-5-13,51,204,2.5969136,0.0834984,3.4318976
439,1-5-13,58,513,2.5625422,0.26986754,5.2612176
440,1-5-14,35,724,2.5625422,0.1987901,4.550443
441,1-5-14,39,373,2.5625422,0.14183335,3.9808757
442,1-5-14,48,591,3.9564626,0.40753964,8.031859
443,1-5-14,51,218,5.3136744,0.051004767,5.823722
444,1-5-14,58,551,2.5625422,0.28469095,5.4094515
445,1-5-15,35,596,2.5625422,0.4935774,7.498316
446,1-5-15,39,386,2.9200718,0.08378986,3.7579703
447,1-5-15,48,838,2.5625422,0.20890704,4.6516123
448,1-5-15,51,220,2.5625422,0.084736824,3.4099104
449,1-5-15,58,446,2.819806,0.45540017,7.373808
450,1-5-16,35,697,2.5625422,0.32034126,5.765955
451,1-5-16,39,385,3.9465516,0.03891825,4.335734
452,1-5-16,48,840,2.5625422,0.25979692,5.160511
453,1-5-16,51,203,2.5625422,0.20704025,4.632945
454,1-5-16,58,557,2.5625422,0.17048308,4.267373
455,1-5-17,35,511,3.2224574,0.27760154,5.9984727
456,1-5-17,39,304,5.584477,0.38409284,9.4254055
457,1-5-17,48,804,2.5625422,0.18794373,4.4419794
458,1-5-17,51,192,2.5625422,0.17174499,4.279992
459,1-5-17,58,589,2.5625422,0.16085455,4.1710877
460,1-5-18,35,720,2.5625422,0.15417883,4.1043305
461,1-5-18,39,261,35.65694,0.4340142,39.99708
462,1-5-18,48,852,3.6782324,0.22929017,5.971134
463,1-5-18,51,79,80.02185,0.48999685,84.92182
464,1-5-18,58,535,2.5625422,0.11150347,3.677577
465,1-5-20,35,612,2.5625422,0.31978622,5.7604046
466,1-5-20,39,409,90.97489,0.1511075,92.48597
467,1-5-20,48,828,2.5625422,0.2705384,5.267926
468,1-5-20,51,194,2.5625422,0.1813255,4.3757973
469,1-5-20,58,347,4.539845,0.78239256,12.3637705
470,1-6-0,35,664,2.5625422,0.12285948,3.791137
471,1-6-0,39,366,4.034539,0.11895143,5.2240534
472,1-6-0,48,735,2.5625422,0.31638184,5.7263603
473,1-6-0,51,169,2.5625422,0.30100834,5.5726256
